MCM Name	Smiles String	InChl Identifier	Measurements
 BCALCO 	 O=CC([O])CC(=C)C1CC(C)(C)C1CCC(=O)C 	 InChI=1S/C15H23O3/c1-10(7-12(18)9-16)13-8-15(3,4)14(13)6-5-11(2)17/h9,12-14H,1,5-8H2,2-4H3 	
 C47PAN 	 O=CC(C(C(=O)OO[N+](=O)[O-])(O)C)O[N+](=O)[O-] 	 InChI=1S/C5H6N2O10/c1-5(10,3(2-8)15-6(11)12)4(9)16-17-7(13)14/h2-3,10H,1H3 	
 C69OOH 	 OOCC(=O)C(C)C(C)O 	 InChI=1S/C6H12O4/c1-4(5(2)7)6(8)3-10-9/h4-5,7,9H,3H2,1-2H3 	
 ISOPBO2 	 OCC(C)(O[O])C=C 	 InChI=1S/C5H9O3/c1-3-5(2,4-6)8-7/h3,6H,1,4H2,2H3 	
 C6COCHOO2 	 [O]OCCCC(=O)CC=O 	 InChI=1S/C6H9O4/c7-4-3-6(8)2-1-5-10-9/h4H,1-3,5H2 	
 BOXPR2OH 	 CCCCOC(O)C(C)O 	 InChI=1S/C7H16O3/c1-3-4-5-10-7(9)6(2)8/h6-9H,3-5H2,1-2H3 	
 C6TRONOHO 	 [O]C(CC=O)C(=O)C(=O)CO 	 InChI=1S/C6H7O5/c7-2-1-4(9)6(11)5(10)3-8/h2,4,8H,1,3H2 	
 C126OOA 	 O=CCCC(=[O+][O-])C1CC(C)(C)C1CC=O 	 InChI=1S/C12H18O4/c1-12(2)8-9(10(12)5-7-14)11(16-15)4-3-6-13/h6-7,9-10H,3-5,8H2,1-2H3 	
 M3HEXBO 	 CCCC(C)([O])CC 	 InChI=1S/C7H15O/c1-4-6-7(3,8)5-2/h4-6H2,1-3H3 	
 DIIPRETO 	 CC(C)OC(C)(C)[O] 	 InChI=1S/C6H13O2/c1-5(2)8-6(3,4)7/h5H,1-4H3 	
 PHPTN 	 CCCCCCC(=O)OON(=O)=O 	 InChI=1S/C7H13NO5/c1-2-3-4-5-6-7(9)12-13-8(10)11/h2-6H2,1H3 	
 PRONFORMO 	 O=COC([O])C(=O)C 	 InChI=1S/C4H5O4/c1-3(6)4(7)8-2-5/h2,4H,1H3 	
 MCOOTBNO3 	 O=N(=O)OCC(C)(C)OC(=O)C 	 InChI=1S/C6H11NO5/c1-5(8)12-6(2,3)4-11-7(9)10/h4H2,1-3H3 	
 PBZMUCO2 	 CCCC(=O)C(O[O])C(O)C1OC1C=O 	 InChI=1S/C9H13O6/c1-2-3-5(11)8(15-13)7(12)9-6(4-10)14-9/h4,6-9,12H,2-3H2,1H3 	
 C5134CO2OH 	 O=CC(O)C(=O)C(=O)C 	 InChI=1S/C5H6O4/c1-3(7)5(9)4(8)2-6/h2,4,8H,1H3 	
 CHCL2CO3 	 [O]OC(=O)C(Cl)Cl 	 InChI=1S/C2HCl2O3/c3-1(4)2(5)7-6/h1H 	
 C4CONO3O 	 O=CC(ON(=O)=O)C(C)[O] 	 InChI=1S/C4H6NO5/c1-3(7)4(2-6)10-5(8)9/h2-4H,1H3 	
 H3M3C6O 	 [O]CCCC(C)(O)CC 	 InChI=1S/C7H15O2/c1-3-7(2,9)5-4-6-8/h9H,3-6H2,1-2H3 	
 C519O 	 CC(=O)C([O])CCO 	 InChI=1S/C5H9O3/c1-4(7)5(8)2-3-6/h5-6H,2-3H2,1H3 	
 OCTNO3 	 CCCCCC(CC)ON(=O)=O 	 InChI=1S/C8H17NO3/c1-3-5-6-7-8(4-2)12-9(10)11/h8H,3-7H2,1-2H3 	
 INAO 	 OCC(C)([O])C(O)CON(=O)=O 	 InChI=1S/C5H10NO6/c1-5(9,3-7)4(8)2-12-6(10)11/h4,7-8H,2-3H2,1H3 	
 C76O2 	 [O]OCC(=O)CC(O)C(C)C 	 InChI=1S/C7H13O4/c1-5(2)7(9)3-6(8)4-11-10/h5,7,9H,3-4H2,1-2H3 	
 NC524O 	 OCC(ON(=O)=O)C([O])(CO)CO 	 InChI=1S/C5H10NO7/c7-1-4(13-6(11)12)5(10,2-8)3-9/h4,7-9H,1-3H2 	
 TMBCO2H 	 Cc1cc(C)cc(c1)C(=O)O 	 InChI=1S/C9H10O2/c1-6-3-7(2)5-8(4-6)9(10)11/h3-5H,1-2H3,(H,10,11) 	
 C151O 	 OCC([O])(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C 	 InChI=1S/C15H25O5/c1-10(17)4-5-11-12(8-14(11,2)3)15(20,9-16)7-6-13(18)19/h11-12,16H,4-9H2,1-3H3,(H,18,19) 	
 DMEBMUO3H 	 CCC(=O)C=C(C)C1OC1(C)C(=O)OO 	 InChI=1S/C10H14O5/c1-4-7(11)5-6(2)8-10(3,14-8)9(12)15-13/h5,8,13H,4H2,1-3H3 	
 CH2CL3O 	 ClCC([O])(Cl)Cl 	 InChI=1S/C2H2Cl3O/c3-1-2(4,5)6/h1H2 	
 NCATECO2 	 [O]OC1(O)C(=CC2(OOC1C2O)N(=O)=O)O 	 InChI=1S/C6H6NO9/c8-2-1-5(7(11)12)3(9)4(14-16-5)6(2,10)15-13/h1,3-4,8-10H 	
 M2PEANO3 	 CCCC(C)CON(=O)=O 	 InChI=1S/C6H13NO3/c1-3-4-6(2)5-10-7(8)9/h6H,3-5H2,1-2H3 	
 EOX2OLAOOH 	 CCOC(CO)OO 	 InChI=1S/C4H10O4/c1-2-7-4(3-5)8-6/h4-6H,2-3H2,1H3 	
 M22C4NO3 	 O=N(=O)OCCC(C)(C)C 	 InChI=1S/C6H13NO3/c1-6(2,3)4-5-10-7(8)9/h4-5H2,1-3H3 	
 C51OH2CO 	 CCCC(=O)CO 	 InChI=1S/C5H10O2/c1-2-3-5(7)4-6/h6H,2-4H2,1H3 	
 INAHPCO3H 	 OOC(=O)C(C)(OO)C(O)CON(=O)=O 	 InChI=1S/C5H9NO9/c1-5(15-12,4(8)14-11)3(7)2-13-6(9)10/h3,7,11-12H,2H2,1H3 	
 PBZMUCOH 	 CCCC(=O)C(O)C(O)C1OC1C=O 	 InChI=1S/C9H14O5/c1-2-3-5(11)7(12)8(13)9-6(4-10)14-9/h4,6-9,12-13H,2-3H2,1H3 	
 C105O 	 CCCCC(=O)C(=O)C([O])C(=O)CC 	 InChI=1S/C10H15O4/c1-3-5-6-8(12)10(14)9(13)7(11)4-2/h9H,3-6H2,1-2H3 	
 CHCL2CH2O 	 [O]CC(Cl)Cl 	 InChI=1S/C2H3Cl2O/c3-2(4)1-5/h2H,1H2 	
 C721CO3 	 [O]OC(=O)C1CC(C(=O)O)C1(C)C 	 InChI=1S/C8H11O5/c1-8(2)4(6(9)10)3-5(8)7(11)13-12/h4-5H,3H2,1-2H3,(H,9,10) 	
 IPRMEETO2 	 COC(C)(C)O[O] 	 InChI=1S/C4H9O3/c1-4(2,6-3)7-5/h1-3H3 	
 IPBENZOOH 	 OOc1ccccc1C(C)C 	 InChI=1S/C9H12O2/c1-7(2)8-5-3-4-6-9(8)11-10/h3-7,10H,1-2H3 	
 HYPROPO2 	 OCC(C)O[O] 	 InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3 	
 MVKO2 	 [O]OCC(=O)C=C 	 InChI=1S/C4H5O3/c1-2-4(5)3-7-6/h2H,1,3H2 	
 PHCOCOME 	 O=C(C(=O)C)c1ccccc1 	 InChI=1S/C9H8O2/c1-7(10)9(11)8-5-3-2-4-6-8/h2-6H,1H3 	
 EBZBPER2OH 	 CCC12OOC(C(O)C=C1)C2O 	 InChI=1S/C8H12O4/c1-2-8-4-3-5(9)6(7(8)10)11-12-8/h3-7,9-10H,2H2,1H3 	
 OXYMUCCO3H 	 CC1(OC1(C)C(=O)OO)C=CC=O 	 InChI=1S/C8H10O5/c1-7(4-3-5-9)8(2,13-7)6(10)12-11/h3-5,11H,1-2H3 	
 C5CO234OOH 	 CC(=O)C(=O)C(=O)COO 	 InChI=1S/C5H6O5/c1-3(6)5(8)4(7)2-10-9/h9H,2H2,1H3 	
 MVKOH 	 OCC(=O)C=C 	 InChI=1S/C4H6O2/c1-2-4(6)3-5/h2,5H,1,3H2 	
 C89OOH 	 O=CCC1CC(OO)C1(C)C 	 InChI=1S/C8H14O3/c1-8(2)6(3-4-9)5-7(8)11-10/h4,6-7,10H,3,5H2,1-2H3 	
 ACETC2CO3 	 [O]OC(=O)CCOC(=O)C 	 InChI=1S/C5H7O5/c1-4(6)9-3-2-5(7)10-8/h2-3H2,1H3 	
 MVKOO 	 [O-][O+]=C(C)C=C 	 InChI=1S/C4H6O2/c1-3-4(2)6-5/h3H,1H2,2H3 	
 C8DBCO2PAN 	 O=CC(=O)C=C(C(C)C)C(=O)OON(=O)=O 	 InChI=1S/C8H9NO7/c1-5(2)7(3-6(11)4-10)8(12)15-16-9(13)14/h3-5H,1-2H3 	
 C721O2 	 [O]OC1CC(C(=O)O)C1(C)C 	 InChI=1S/C7H11O4/c1-7(2)4(6(8)9)3-5(7)11-10/h4-5H,3H2,1-2H3,(H,8,9) 	
 C537O 	 OOCC(C(C=O)[O])(OO)C 	 InChI=1S/C5H9O6/c1-5(11-9,3-10-8)4(7)2-6/h2,4,8-9H,3H2,1H3 	
 NNCATECO 	 O=N(=O)OC1C2OOC1(C=C(O)C2([O])O)N(=O)=O 	 InChI=1S/C6H5N2O10/c9-2-1-5(7(12)13)3(16-8(14)15)4(17-18-5)6(2,10)11/h1,3-4,9-10H 	
 NC3CO2H 	 O=N(=O)OCC=CC(=O)O 	 InChI=1S/C4H5NO5/c6-4(7)2-1-3-10-5(8)9/h1-2H,3H2,(H,6,7) 	
 NCRESOOH 	 OOC1(O)C=CC2(C)OOC1C2ON(=O)=O 	 InChI=1S/C7H9NO8/c1-6-2-3-7(9,15-12)5(14-16-6)4(6)13-8(10)11/h2-5,9,12H,1H3 	
 IPRMEETOH 	 COC(C)(C)O 	 InChI=1S/C4H10O2/c1-4(2,5)6-3/h5H,1-3H3 	
 NMETOLOH 	 CCC12C=CC(O)(O)C(C)(OO1)C2ON(=O)=O 	 InChI=1S/C9H13NO7/c1-3-8-4-5-9(11,12)7(2,16-17-8)6(8)15-10(13)14/h4-6,11-12H,3H2,1-2H3 	
 CH3COPAN 	 O=N(=O)OOC(=O)C(=O)C 	 InChI=1S/C3H3NO6/c1-2(5)3(6)9-10-4(7)8/h1H3 	
 TM135BPOOH 	 OOC1C(=CC2(C)OOC1(C)C2O)C 	 InChI=1S/C9H14O5/c1-5-4-8(2)7(10)9(3,14-13-8)6(5)12-11/h4,6-7,10-11H,1-3H3 	
 C619OOH 	 OOC1CC(=O)CCC1=O 	 InChI=1S/C6H8O4/c7-4-1-2-5(8)6(3-4)10-9/h6,9H,1-3H2 	
 C519CO2H 	 OCCC(C(=O)C)C(=O)O 	 InChI=1S/C6H10O4/c1-4(8)5(2-3-7)6(9)10/h5,7H,2-3H2,1H3,(H,9,10) 	
 CH2CHCH2O2 	 [O]OCC=C 	 InChI=1S/C3H5O2/c1-2-3-5-4/h2H,1,3H2 	
 TBOCOCH2O2 	 [O]OCC(=O)OC(C)(C)C 	 InChI=1S/C6H11O4/c1-6(2,3)10-5(7)4-9-8/h4H2,1-3H3 	
 TBOCOCH2OH 	 OCC(=O)OC(C)(C)C 	 InChI=1S/C6H12O3/c1-6(2,3)9-5(8)4-7/h7H,4H2,1-3H3 	
 NC72OOH 	 OOC1C(=O)CC(=O)C(C)(ON(=O)=O)C1=O 	 InChI=1S/C7H7NO8/c1-7(16-8(12)13)4(10)2-3(9)5(15-14)6(7)11/h5,14H,2H2,1H3 	
 PTCATEC1O2 	 [O]Oc1c(CC)ccc(C)c1O 	 InChI=1S/C9H11O3/c1-3-7-5-4-6(2)8(10)9(7)12-11/h4-5,10H,3H2,1-2H3 	
 OXYMUCO 	 O=CC([O])C(O)C1(C)OC1(C)C=O 	 InChI=1S/C8H11O5/c1-7(4-10)8(2,13-7)6(12)5(11)3-9/h3-6,12H,1-2H3 	
 NDEMPLOOH 	 CCC12OOC(CC)(C2ON(=O)=O)C(O)(OO)C(=C1)C 	 InChI=1S/C11H17NO8/c1-4-9-6-7(3)11(13,18-16)10(5-2,20-19-9)8(9)17-12(14)15/h6,8,13,16H,4-5H2,1-3H3 	
 C622CO3H 	 OCC(CC(=O)OO)C(=C)C 	 InChI=1S/C7H12O4/c1-5(2)6(4-8)3-7(9)11-10/h6,8,10H,1,3-4H2,2H3 	
 BOXCOALOOH 	 CCCC(OC(=O)C=O)OO 	 InChI=1S/C6H10O5/c1-2-3-6(11-9)10-5(8)4-7/h4,6,9H,2-3H2,1H3 	
 HO25C7 	 CCC(O)CCC(C)O 	 InChI=1S/C7H16O2/c1-3-7(9)5-4-6(2)8/h6-9H,3-5H2,1-2H3 	
 HO25C6 	 CC(O)CCC(C)O 	 InChI=1S/C6H14O2/c1-5(7)3-4-6(2)8/h5-8H,3-4H2,1-2H3 	
 DMEBIPRO 	 CCC12OOC(C)(C([O])C(=C1)C)C2O 	 InChI=1S/C10H15O4/c1-4-10-5-6(2)7(11)9(3,8(10)12)13-14-10/h5,7-8,12H,4H2,1-3H3 	
 C5124COO 	 [O]CC(=O)CC(=O)C=O 	 InChI=1S/C5H5O4/c6-2-4(8)1-5(9)3-7/h2H,1,3H2 	
 NMETOLO2 	 CCC12OOC(C)(C2ON(=O)=O)C(O)(O[O])C=C1 	 InChI=1S/C9H12NO8/c1-3-8-4-5-9(11,16-14)7(2,17-18-8)6(8)15-10(12)13/h4-6,11H,3H2,1-2H3 	
 HO2C54O2 	 [O]OC(C)CC(C)O 	 InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h4-6H,3H2,1-2H3 	
 PROL11MOOH 	 CC(O)(COO)CC 	 InChI=1S/C5H12O3/c1-3-5(2,6)4-8-7/h6-7H,3-4H2,1-2H3 	
 BZOBIPEROH 	 O=C1C=CC2OOC1C2O 	 InChI=1S/C6H6O4/c7-3-1-2-4-5(8)6(3)10-9-4/h1-2,4-6,8H 	
 NO3CH2CO2H 	 OC(=O)CON(=O)=O 	 InChI=1S/C2H3NO5/c4-2(5)1-8-3(6)7/h1H2,(H,4,5) 	
 C51NO32O 	 CCCC([O])CON(=O)=O 	 InChI=1S/C5H10NO4/c1-2-3-5(7)4-10-6(8)9/h5H,2-4H2,1H3 	
 HOC3H6CHO 	 OCCCC=O 	 InChI=1S/C4H8O2/c5-3-1-2-4-6/h3,6H,1-2,4H2 	
 C618CO3 	 O=CCC(=O)C(C)(C)C(=O)O[O] 	 InChI=1S/C7H9O5/c1-7(2,6(10)12-11)5(9)3-4-8/h4H,3H2,1-2H3 	
 NIPRBQO 	 O=N(=O)OC1C([O])C(=O)C=C(C(C)C)C1=O 	 InChI=1S/C9H10NO6/c1-4(2)5-3-6(11)8(13)9(7(5)12)16-10(14)15/h3-4,8-9H,1-2H3 	
 ACCOCOMEO2 	 [O]OCC(=O)C(=O)OC(=O)C 	 InChI=1S/C5H5O6/c1-3(6)11-5(8)4(7)2-10-9/h2H2,1H3 	
 NMEBFUO2 	 CCC1OC(=O)C(C)(O[O])C1ON(=O)=O 	 InChI=1S/C7H10NO7/c1-3-4-5(14-8(10)11)7(2,15-12)6(9)13-4/h4-5H,3H2,1-2H3 	
 C42CHO 	 OCC(C)C(O)C=O 	 InChI=1S/C5H10O3/c1-4(2-6)5(8)3-7/h3-6,8H,2H2,1H3 	
 CLCO2H 	 OC(=O)Cl 	 InChI=1S/CHClO2/c2-1(3)4/h(H,3,4) 	
 H2M5C65OOH 	 OOC(C)(C)CCC(C)O 	 InChI=1S/C7H16O3/c1-6(8)4-5-7(2,3)10-9/h6,8-9H,4-5H2,1-3H3 	
 C4M3NO32O 	 [O]CC(ON(=O)=O)C(C)C 	 InChI=1S/C5H10NO4/c1-4(2)5(3-7)10-6(8)9/h4-5H,3H2,1-2H3 	
 HOC4CHOOOH 	 OCCCC(OO)C=O 	 InChI=1S/C5H10O4/c6-3-1-2-5(4-7)9-8/h4-6,8H,1-3H2 	
 MALDIALO2 	 [O]OC(C=O)C(O)C=O 	 InChI=1S/C4H5O5/c5-1-3(7)4(2-6)9-8/h1-4,7H 	
 HEX3ONDNO3 	 CCC(=O)CCCON(=O)=O 	 InChI=1S/C6H11NO4/c1-2-6(8)4-3-5-11-7(9)10/h2-5H2,1H3 	
 M2HEXBO 	 CCCCC(C)(C)[O] 	 InChI=1S/C7H15O/c1-4-5-6-7(2,3)8/h4-6H2,1-3H3 	
 BOXMCO2H 	 CCCCOCC(=O)O 	 InChI=1S/C6H12O3/c1-2-3-4-9-5-6(7)8/h2-5H2,1H3,(H,7,8) 	
 MTBEAO 	 [O]COC(C)(C)C 	 InChI=1S/C5H11O2/c1-5(2,3)7-4-6/h4H2,1-3H3 	
 C1012OH 	 O=CCC(C)(C)C(O)CCC(=O)C 	 InChI=1S/C10H18O3/c1-8(12)4-5-9(13)10(2,3)6-7-11/h7,9,13H,4-6H2,1-3H3 	
 C69OH 	 OCC(=O)C(C)C(C)O 	 InChI=1S/C6H12O3/c1-4(5(2)8)6(9)3-7/h4-5,7-8H,3H2,1-2H3 	
 MXYEPOXMUC 	 O=CC1(C)OC1C=CC(=O)C 	 InChI=1S/C8H10O3/c1-6(10)3-4-7-8(2,5-9)11-7/h3-5,7H,1-2H3 	
 CO235C6CO3 	 [O]OC(=O)CC(=O)CC(=O)C(=O)C 	 InChI=1S/C7H7O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h2-3H2,1H3 	
 CO2C3OOA 	 [O-][O+]=CCC(=O)C 	 InChI=1S/C4H6O3/c1-4(5)2-3-7-6/h3H,2H2,1H3 	
 PHCOET 	 CCC(=O)c1ccccc1 	 InChI=1S/C9H10O/c1-2-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3 	
 BCKBO 	 O=C1CCC([O])C(C)(O)CCC2C1CC2(C)C 	 InChI=1S/C14H23O3/c1-13(2)8-9-10(13)6-7-14(3,17)12(16)5-4-11(9)15/h9-10,12,17H,4-8H2,1-3H3 	
 OETOLO2 	 CCC12OOC(C2O)C(O)(O[O])C=C1C 	 InChI=1S/C9H13O6/c1-3-8-5(2)4-9(11,14-12)7(6(8)10)13-15-8/h4,6-7,10-11H,3H2,1-2H3 	
 NC7H16 	 CCCCCCC 	 InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3 	
 C145O2 	 OCCC(CO)(O[O])C(=O)CC(C)(C)C(=O)CCC(=O)C 	 InChI=1S/C14H23O7/c1-10(17)4-5-11(18)13(2,3)8-12(19)14(9-16,21-20)6-7-15/h15-16H,4-9H2,1-3H3 	
 CH2CLCH2OH 	 OCCCl 	 InChI=1S/C2H5ClO/c3-1-2-4/h4H,1-2H2 	
 C827O 	 CC(=O)CCC(=O)C(C)(C)[O] 	 InChI=1S/C8H13O3/c1-6(9)4-5-7(10)8(2,3)11/h4-5H2,1-3H3 	
 NOXYOLO 	 O=N(=O)OC1C2OOC1(C)C(=CC2([O])O)C 	 InChI=1S/C8H10NO7/c1-4-3-8(10,11)6-5(14-9(12)13)7(4,2)16-15-6/h3,5-6,10H,1-2H3 	
 EOX2COMEOH 	 CCOC(=O)CO 	 InChI=1S/C4H8O3/c1-2-7-4(6)3-5/h5H,2-3H2,1H3 	
 CH2CLCH2O2 	 [O]OCCCl 	 InChI=1S/C2H4ClO2/c3-1-2-5-4/h1-2H2 	
 C145OH 	 OCCC(O)(CO)C(=O)CC(C)(C)C(=O)CCC(=O)C 	 InChI=1S/C14H24O6/c1-10(17)4-5-11(18)13(2,3)8-12(19)14(20,9-16)6-7-15/h15-16,20H,4-9H2,1-3H3 	
 EPXMEDCO3H 	 CC1(OC1(CC)C=O)C(=O)OO 	 InChI=1S/C7H10O5/c1-3-7(4-8)6(2,12-7)5(9)11-10/h4,10H,3H2,1-2H3 	
 C106NO3 	 O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O 	 InChI=1S/C10H15NO6/c1-7(13)9(6-8(14)4-5-12)10(2,3)17-11(15)16/h5,9H,4,6H2,1-3H3 	
 OETOLOH 	 CCC12OOC(C2O)C(O)(O)C=C1C 	 InChI=1S/C9H14O5/c1-3-8-5(2)4-9(11,12)7(6(8)10)13-14-8/h4,6-7,10-12H,3H2,1-2H3 	
 C41OH 	 OCC(O)C(O)C=O 	 InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2 	
 NPROACEBO 	 CCC([O])OC(=O)C 	 InChI=1S/C5H9O3/c1-3-5(7)8-4(2)6/h5H,3H2,1-2H3 	
 MBOAO2 	 OCC(O[O])C(C)(C)O 	 InChI=1S/C5H11O4/c1-5(2,7)4(3-6)9-8/h4,6-7H,3H2,1-2H3 	
 C732OOH 	 OOCC(CCC(=O)O)C(=O)C 	 InChI=1S/C7H12O5/c1-5(8)6(4-12-11)2-3-7(9)10/h6,11H,2-4H2,1H3,(H,9,10) 	
 C1012O2 	 O=CCC(C)(C)C(O[O])CCC(=O)C 	 InChI=1S/C10H17O4/c1-8(12)4-5-9(14-13)10(2,3)6-7-11/h7,9H,4-6H2,1-3H3 	
 C69O2 	 [O]OCC(=O)C(C)C(C)O 	 InChI=1S/C6H11O4/c1-4(5(2)7)6(8)3-10-9/h4-5,7H,3H2,1-2H3 	
 C615CO2O 	 O=CC([O])C=CC(=O)C 	 InChI=1S/C6H7O3/c1-5(8)2-3-6(9)4-7/h2-4,6H,1H3 	
 C615CO2H 	 O=CC(C(=O)O)C(C)(C)C=O 	 InChI=1S/C7H10O4/c1-7(2,4-9)5(3-8)6(10)11/h3-5H,1-2H3,(H,10,11) 	
 CO1C6O 	 [O]CCCCCC=O 	 InChI=1S/C6H11O2/c7-5-3-1-2-4-6-8/h5H,1-4,6H2 	
 C5CO234O 	 [O]CC(=O)C(=O)C(=O)C 	 InChI=1S/C5H5O4/c1-3(7)5(9)4(8)2-6/h2H2,1H3 	
 ECATECHOL 	 CCc1cccc(O)c1O 	 InChI=1S/C8H10O2/c1-2-6-4-3-5-7(9)8(6)10/h3-5,9-10H,2H2,1H3 	
 C7ADCOOH 	 O=CC(C)(O)C(C)(OO)C(=O)C 	 InChI=1S/C7H12O5/c1-5(9)7(3,12-11)6(2,10)4-8/h4,10-11H,1-3H3 	
 C924OOH 	 OCC(CC(OO)C(=O)C)C(=C)C 	 InChI=1S/C9H16O4/c1-6(2)8(5-10)4-9(13-12)7(3)11/h8-10,12H,1,4-5H2,2-3H3 	
 PRONFORMO2 	 O=COC(O[O])C(=O)C 	 InChI=1S/C4H5O5/c1-3(6)4(9-7)8-2-5/h2,4H,1H3 	
 IC4H9NO3 	 CC(C)CON(=O)=O 	 InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3 	
 C131O 	 [O]CCC(=O)C1CC(C)(C)C1CCC(=O)C 	 InChI=1S/C13H21O3/c1-9(15)4-5-11-10(8-13(11,2)3)12(16)6-7-14/h10-11H,4-8H2,1-3H3 	
 C8CO3OHO 	 CCCC(=O)C([O])C(O)C(=O)C=O 	 InChI=1S/C8H11O5/c1-2-3-5(10)7(12)8(13)6(11)4-9/h4,7-8,13H,2-3H2,1H3 	
 NBUACCNO3 	 CCCC(OC(=O)C)ON(=O)=O 	 InChI=1S/C6H11NO5/c1-3-4-6(11-5(2)8)12-7(9)10/h6H,3-4H2,1-2H3 	
 PROPACID 	 CCC(=O)O 	 InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5) 	
 IBUTOLBO2 	 OCC(C)(C)O[O] 	 InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3 	
 PINALO 	 O=CCC1([O])CC(C(=O)C)C1(C)C 	 InChI=1S/C10H15O3/c1-7(12)8-6-10(13,4-5-11)9(8,2)3/h5,8H,4,6H2,1-3H3 	
 NC1313O 	 O=CCCC([O])(CO[N+](=O)[O-])C1CC(C)(C)C1CC=O 	 InChI=1S/C13H20NO6/c1-12(2)8-11(10(12)4-7-16)13(17,5-3-6-15)9-20-14(18)19/h6-7,10-11H,3-5,8-9H2,1-2H3 	
 C1210NO3 	 O=CCCC(=O)C1CC(C)(C)C1CCO[N+](=O)[O-] 	 InChI=1S/C12H19NO5/c1-12(2)8-9(11(15)4-3-6-14)10(12)5-7-18-13(16)17/h6,9-10H,3-5,7-8H2,1-2H3 	
 C5EDBPAN 	 CCC(=CC(=O)C(=O)C)C(=O)OON(=O)=O 	 InChI=1S/C8H9NO7/c1-3-6(4-7(11)5(2)10)8(12)15-16-9(13)14/h4H,3H2,1-2H3 	
 DMMBOOH 	 COC(OC)OO 	 InChI=1S/C3H8O4/c1-5-3(6-2)7-4/h3-4H,1-2H3 	
 HO5C6CO3H 	 CCCCC(O)CC(=O)OO 	 InChI=1S/C7H14O4/c1-2-3-4-6(8)5-7(9)11-10/h6,8,10H,2-5H2,1H3 	
 METACETHO 	 O=COC(=O)C 	 InChI=1S/C3H4O3/c1-3(5)6-2-4/h2H,1H3 	
 MXYMUCCO2H 	 CC(=O)C=CC1OC1(C)C(=O)O 	 InChI=1S/C8H10O4/c1-5(9)3-4-6-8(2,12-6)7(10)11/h3-4,6H,1-2H3,(H,10,11) 	
 C524NO3 	 OCC(=C)C(CO)ON(=O)=O 	 InChI=1S/C5H9NO5/c1-4(2-7)5(3-8)11-6(9)10/h5,7-8H,1-3H2 	
 C14O3PCHO 	 CCCC(C=O)OC(=O)C=O 	 InChI=1S/C7H10O4/c1-2-3-6(4-8)11-7(10)5-9/h4-6H,2-3H2,1H3 	
 C67NO3 	 O=CCC(ON(=O)=O)C(C)(C)O 	 InChI=1S/C6H11NO5/c1-6(2,9)5(3-4-8)12-7(10)11/h4-5,9H,3H2,1-2H3 	
 PETHTOL 	 CCc1ccc(C)cc1 	 InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3 	
 M3PECNO3 	 CCC(C)(CC)ON(=O)=O 	 InChI=1S/C6H13NO3/c1-4-6(3,5-2)10-7(8)9/h4-5H2,1-3H3 	
 MC6CO2O 	 O=CC=CC(C)([O])C(=O)C 	 InChI=1S/C7H9O3/c1-6(9)7(2,10)4-3-5-8/h3-5H,1-2H3 	
 CO2C5OH 	 OCCCC(=O)C 	 InChI=1S/C5H10O2/c1-5(7)3-2-4-6/h6H,2-4H2,1H3 	
 C7M2CO5O 	 CC(=O)C=C(C)C([O])C(=O)C 	 InChI=1S/C8H11O3/c1-5(4-6(2)9)8(11)7(3)10/h4,8H,1-3H3 	
 MTBEALCO2H 	 O=COC(C)(C)C(=O)O 	 InChI=1S/C5H8O4/c1-5(2,4(7)8)9-3-6/h3H,1-2H3,(H,7,8) 	
 C3MCOCO2H 	 O=CC(=CC(=O)O)C 	 InChI=1S/C5H6O3/c1-4(3-6)2-5(7)8/h2-3H,1H3,(H,7,8) 	
 C65OH4O 	 CCCC([O])C(C)O 	 InChI=1S/C6H13O2/c1-3-4-6(8)5(2)7/h5-7H,3-4H2,1-2H3 	
 C5CO23OOH 	 CCC(=O)C(=O)COO 	 InChI=1S/C5H8O4/c1-2-4(6)5(7)3-9-8/h8H,2-3H2,1H3 	
 NONO2 	 CCCCCCC(CC)O[O] 	 InChI=1S/C9H19O2/c1-3-5-6-7-8-9(4-2)11-10/h9H,3-8H2,1-2H3 	
 NONOH 	 CCCCCCC(O)CC 	 InChI=1S/C9H20O/c1-3-5-6-7-8-9(10)4-2/h9-10H,3-8H2,1-2H3 	
 C23C54CHO 	 O=CC(C)C(=O)C(=O)C 	 InChI=1S/C6H8O3/c1-4(3-7)6(9)5(2)8/h3-4H,1-2H3 	
 CO2M33CHO 	 O=CC(C)(C)C(=O)C 	 InChI=1S/C6H10O2/c1-5(8)6(2,3)4-7/h4H,1-3H3 	
