MCM Name	Smiles String	InChl Identifier	Measurements
 C46PAN 	 [O-][N+](=O)OOC(=O)C(=C)CCO 	 InChI=1S/C5H7NO6/c1-4(2-3-7)5(8)11-12-6(9)10/h7H,1-3H2 	
 TMB2FUOOH 	 OOC1(C)C(=O)OC(C)C1(C)O 	 InChI=1S/C7H12O5/c1-4-6(2,9)7(3,12-10)5(8)11-4/h4,9-10H,1-3H3 	
 MIBKHO4O 	 [O]CC(=O)CC(C)(C)O 	 InChI=1S/C6H11O3/c1-6(2,9)3-5(8)4-7/h9H,3-4H2,1-2H3 	
 CL2OHCH2O 	 [O]CC(O)(Cl)Cl 	 InChI=1S/C2H3Cl2O2/c3-2(4,6)1-5/h6H,1H2 	
 H3C25CCO3H 	 OOC(=O)CC(=O)CC(O)C(=O)C 	 InChI=1S/C7H10O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h6,10,12H,2-3H2,1H3 	
 ETBEAOH 	 CCOC(C)(C)CO 	 InChI=1S/C6H14O2/c1-4-8-6(2,3)5-7/h7H,4-5H2,1-3H3 	
 C126NO3 	 O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-] 	 InChI=1S/C12H19NO4/c1-9(5-7-17-13(15)16)10-8-12(2,3)11(10)4-6-14/h6,10-11H,1,4-5,7-8H2,2-3H3 	
 ETBEAO2 	 CCOC(C)(C)CO[O] 	 InChI=1S/C6H13O3/c1-4-8-6(2,3)5-9-7/h4-5H2,1-3H3 	
 HM22C4O 	 [O]CCC(C)(C)CO 	 InChI=1S/C6H13O2/c1-6(2,5-8)3-4-7/h8H,3-5H2,1-2H3 	
 C823OOH 	 OOCC(CCC(=O)O)C(=C)C 	 InChI=1S/C8H14O4/c1-6(2)7(5-12-11)3-4-8(9)10/h7,11H,1,3-5H2,2H3,(H,9,10) 	
 C616O2 	 O=CCCC(=O)C(O[O])C=O 	 InChI=1S/C6H7O5/c7-3-1-2-5(9)6(4-8)11-10/h3-4,6H,1-2H2 	
 C88OOH 	 OOC1C(=O)CCC(=O)C1(C)C 	 InChI=1S/C8H12O4/c1-8(2)6(10)4-3-5(9)7(8)12-11/h7,11H,3-4H2,1-2H3 	
 C1013CO2H 	 COC(=O)CCC1C(CC1(C)C)C(=O)O 	 InChI=1S/C11H18O4/c1-11(2)6-7(10(13)14)8(11)4-5-9(12)15-3/h7-8H,4-6H2,1-3H3,(H,13,14) 	
 DIIPRETO2 	 [O]OC(C)(C)OC(C)C 	 InChI=1S/C6H13O3/c1-5(2)8-6(3,4)9-7/h5H,1-4H3 	
 M2BKAOOH 	 OOC(C)C(C)C(=O)C 	 InChI=1S/C6H12O3/c1-4(5(2)7)6(3)9-8/h4,6,8H,1-3H3 	
 MMALANHY 	 O=C1C=C(C)C(=O)O1 	 InChI=1S/C5H4O3/c1-3-2-4(6)8-5(3)7/h2H,1H3 	
 C312COCO3H 	 OOC(=O)CC(=O)C=O 	 InChI=1S/C4H4O5/c5-2-3(6)1-4(7)9-8/h2,8H,1H2 	
 MEK2OO 	 [O-][O+]=C(C)C(=O)C 	 InChI=1S/C4H6O3/c1-3(5)4(2)7-6/h1-2H3 	
 C7EDCOOH 	 OOC(C(=O)C)C(O)C(=O)CC 	 InChI=1S/C7H12O5/c1-3-5(9)6(10)7(12-11)4(2)8/h6-7,10-11H,3H2,1-2H3 	
 NMXYQO2 	 [O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O 	 InChI=1S/C8H8NO7/c1-4-3-5(10)7(15-9(12)13)8(2,16-14)6(4)11/h3,7H,1-2H3 	
 PXYL1O2 	 [O]Oc1ccc(C)cc1 	 InChI=1S/C7H7O2/c1-6-2-4-7(9-8)5-3-6/h2-5H,1H3 	
 C827OOH 	 OOC(C)(C)C(=O)CCC(=O)C 	 InChI=1S/C8H14O4/c1-6(9)4-5-7(10)8(2,3)12-11/h11H,4-5H2,1-3H3 	
 NDNPBZLOOH 	 CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O 	 InChI=1S/C9H11N3O12/c1-2-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4-5(10(14)15)9(7,13)22-20/h4,6,13,20H,2-3H2,1H3 	
 CO23C5 	 CCC(=O)C(=O)C 	 InChI=1S/C5H8O2/c1-3-5(7)4(2)6/h3H2,1-2H3 	
 CO23C6 	 CCCC(=O)C(=O)C 	 InChI=1S/C6H10O2/c1-3-4-6(8)5(2)7/h3-4H2,1-2H3 	
 TOL1O 	 Cc1ccccc1[O] 	 InChI=1S/C7H7O/c1-6-4-2-3-5-7(6)8/h2-5H,1H3 	
 CH3SOO2 	 CS(=O)O[O] 	 InChI=1S/CH3O3S/c1-5(3)4-2/h1H3 	
 IPROPOLPER 	 OOC(=O)C(C)O 	 InChI=1S/C3H6O4/c1-2(4)3(5)7-6/h2,4,6H,1H3 	
 NDNPETLOOH 	 CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O 	 InChI=1S/C9H11N3O12/c1-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4(2)5(10(14)15)9(7,13)22-20/h6,13,20H,3H2,1-2H3 	
 C61O 	 CC(=O)CC([O])C(C)O 	 InChI=1S/C6H11O3/c1-4(7)3-6(9)5(2)8/h5-6,8H,3H2,1-2H3 	
 C3NO3COOOH 	 OOCC(=O)CON(=O)=O 	 InChI=1S/C3H5NO6/c5-3(2-10-8)1-9-4(6)7/h8H,1-2H2 	
 C1312O 	 O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO 	 InChI=1S/C13H21O4/c1-10(5-4-7-14)11(16)9-13(2,3)12(17)6-8-15/h7,12,15H,1,4-6,8-9H2,2-3H3 	
 PROL1MCO3 	 CC(O)(CC)C(=O)O[O] 	 InChI=1S/C5H9O4/c1-3-5(2,7)4(6)9-8/h7H,3H2,1-2H3 	
 CH3CHOHCHO 	 CC(O)C=O 	 InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3 	
 C78O 	 CC(=O)C([O])CC(C)(C)O 	 InChI=1S/C7H13O3/c1-5(8)6(9)4-7(2,3)10/h6,10H,4H2,1-3H3 	
 MNO3COC4O 	 CCC([O])CC(=O)CON(=O)=O 	 InChI=1S/C6H10NO5/c1-2-5(8)3-6(9)4-12-7(10)11/h5H,2-4H2,1H3 	
 BZEMUCCO3H 	 OOC(=O)C1OC1C=CC=O 	 InChI=1S/C6H6O5/c7-3-1-2-4-5(10-4)6(8)11-9/h1-5,9H 	
 MACRNB 	 O=CC(C)(O)CON(=O)=O 	 InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3 	
 COHM2CO3H 	 CC(O)(C=O)C(=O)OO 	 InChI=1S/C4H6O5/c1-4(7,2-5)3(6)9-8/h2,7-8H,1H3 	
 TL4OHNO2O2 	 [O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O 	 InChI=1S/C7H8NO8/c1-6-2-3(8(11)12)7(10,15-13)5(4(6)9)14-16-6/h2,4-5,9-10H,1H3 	
 PHIC3O 	 CC(C)([O])c1ccccc1 	 InChI=1S/C9H11O/c1-9(2,10)8-6-4-3-5-7-8/h3-7H,1-2H3 	
 OTNCATECO 	 CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O 	 InChI=1S/C9H12NO8/c1-3-4-5(11)9(13,14)8(10(15)16)6(12)7(4,2)17-18-8/h6,11-13H,3H2,1-2H3 	
 OTNCATECH 	 CCc1c(C)cc(N(=O)=O)c(O)c1O 	 InChI=1S/C9H11NO4/c1-3-6-5(2)4-7(10(13)14)9(12)8(6)11/h4,11-12H,3H2,1-2H3 	
 DM124O 	 [O]c1ccc(C)c(C)c1 	 InChI=1S/C8H9O/c1-6-3-4-8(9)5-7(6)2/h3-5H,1-2H3 	
 PTCATEC1O 	 CCc1ccc(C)c(O)c1[O] 	 InChI=1S/C9H11O2/c1-3-7-5-4-6(2)8(10)9(7)11/h4-5,10H,3H2,1-2H3 	
 DMMBO2 	 COC(OC)O[O] 	 InChI=1S/C3H7O4/c1-5-3(6-2)7-4/h3H,1-2H3 	
 MTBKNO3 	 O=N(=O)OCC(C)(C)C(=O)C 	 InChI=1S/C6H11NO4/c1-5(8)6(2,3)4-11-7(9)10/h4H2,1-3H3 	
 NISOPNO3 	 CC(=CCON(=O)=O)CON(=O)=O 	 InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3 	
 HNC524CO 	 OCC(ON(=O)=O)C(O)(CO)C=O 	 InChI=1S/C5H9NO7/c7-1-4(13-6(11)12)5(10,2-8)3-9/h2,4,7,9-10H,1,3H2 	
 C720O 	 CC1=CCC([O])CC1O 	 InChI=1S/C7H11O2/c1-5-2-3-6(8)4-7(5)9/h2,6-7,9H,3-4H2,1H3 	
 C139NO3 	 OCCC(=C)C1(OO[N+](=O)[O-])CC(C)(C)C1CCC(=O)O 	 InChI=1S/C13H21NO7/c1-9(6-7-15)13(20-21-14(18)19)8-12(2,3)10(13)4-5-11(16)17/h10,15H,1,4-8H2,2-3H3,(H,16,17) 	
 H3M3C5CHO 	 CC(O)(CCC=O)CC 	 InChI=1S/C7H14O2/c1-3-7(2,9)5-4-6-8/h6,9H,3-5H2,1-2H3 	
 C5ONO34OOH 	 OOC(C)C(ON(=O)=O)C(=O)C 	 InChI=1S/C5H9NO6/c1-3(7)5(4(2)12-10)11-6(8)9/h4-5,10H,1-2H3 	
 IPECO 	 CCC(C)(C)[O] 	 InChI=1S/C5H11O/c1-4-5(2,3)6/h4H2,1-3H3 	
 IPROACET 	 CC(C)OC(=O)C 	 InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3 	
 HODMSO2 	 [O]OS(C)(C)O 	 InChI=1S/C2H7O3S/c1-6(2,4)5-3/h4H,1-2H3 	
 NMXYOL1O2 	 [O]Oc1c(C)cc(C)cc1N(=O)=O 	 InChI=1S/C8H8NO4/c1-5-3-6(2)8(13-12)7(4-5)9(10)11/h3-4H,1-2H3 	
